circuit,2qg_in,depth_in,sabre0394-la_min_2qg_out,sabre0394-la_min_depth_out,sabre0394-la_min_2qg_ratio,sabre0394-la_min_depth_ratio,sabre0394-la_avg_time,sabre0394-dc_min_2qg_out,sabre0394-dc_min_depth_out,sabre0394-dc_min_2qg_ratio,sabre0394-dc_min_depth_ratio,sabre0394-dc_avg_time
54QBT_25CYC_QSE_0.qasm,270,25,816,181,3.022,7.24,0.3,690,150,2.556,6.0,0.28
54QBT_25CYC_QSE_1.qasm,270,25,732,176,2.711,7.04,0.26,729,153,2.7,6.12,0.26
54QBT_25CYC_QSE_2.qasm,270,25,669,162,2.478,6.48,0.26,678,141,2.511,5.64,0.26
54QBT_25CYC_QSE_3.qasm,270,25,687,129,2.544,5.16,0.25,552,104,2.044,4.16,0.32
54QBT_25CYC_QSE_4.qasm,270,25,570,130,2.111,5.2,0.31,603,138,2.233,5.52,0.26
54QBT_25CYC_QSE_5.qasm,270,25,693,156,2.567,6.24,0.27,687,146,2.544,5.84,0.26
54QBT_25CYC_QSE_6.qasm,270,25,768,137,2.844,5.48,0.2,681,129,2.522,5.16,0.35
54QBT_25CYC_QSE_7.qasm,270,25,642,130,2.378,5.2,0.28,690,137,2.556,5.48,0.19
54QBT_25CYC_QSE_8.qasm,270,25,708,177,2.622,7.08,0.35,621,145,2.3,5.8,0.31
54QBT_25CYC_QSE_9.qasm,270,25,537,108,1.989,4.32,0.29,546,97,2.022,3.88,0.29
